user_id,movie_id,rating,timestamp
76,30,3.0,1640024586
114,23,4.0,1632127277
25,43,2.0,1616462916
39,58,3.5,1629107492
55,57,2.0,1611305316
152,2,2.0,1626142683
3,33,3.5,1625230007
196,19,5.0,1613438397
111,73,4.5,1615740419
131,13,2.0,1610562705
159,62,4.0,1622459562
42,52,5.0,1610940317
61,93,3.5,1633475884
65,42,4.0,1623307270
19,13,5.0,1613609806
95,15,2.0,1624346753
88,27,4.5,1625478728
141,78,2.5,1624872603
48,78,3.0,1622154884
19,85,5.0,1639815258
28,75,4.5,1638752123
162,2,5.0,1612077363
72,64,3.0,1613577324
195,40,2.5,1620345186
79,20,3.5,1628340483
124,77,3.0,1630690423
167,85,5.0,1625735675
147,9,3.0,1612044444
177,80,4.5,1638160477
79,15,4.0,1623357133
156,25,3.5,1610490049
97,27,2.5,1619463453
15,63,3.0,1615940467
179,36,3.5,1630009561
168,51,3.5,1629387164
151,5,3.5,1610891775
67,38,5.0,1609872071
187,73,4.0,1625726237
184,68,4.0,1639142677
121,98,4.5,1636205637
141,70,4.5,1631671037
162,23,2.5,1611329189
149,45,5.0,1635281378
98,51,4.0,1627988276
198,4,3.5,1625722582
78,8,2.5,1625968693
149,62,2.0,1610382635
116,47,4.5,1612144355
4,99,5.0,1637298902
127,70,2.0,1637806789
5,61,4.5,1618426207
105,40,3.0,1639176545
58,64,4.0,1629938379
182,73,2.0,1629801578
144,92,5.0,1635972807
35,42,4.0,1609700838
130,29,2.5,1636732900
119,86,5.0,1611058274
112,46,3.0,1620750147
22,92,4.0,1630298620
53,86,4.5,1611163618
141,73,3.5,1611653878
37,98,3.5,1624565457
63,8,4.5,1611827275
186,44,2.0,1618508757
59,66,3.0,1636235687
14,21,3.5,1632547338
103,53,2.5,1615107928
37,95,3.5,1615218106
156,98,2.5,1625349435
68,78,4.0,1623328585
3,96,4.0,1633531728
161,71,4.5,1616602155
37,45,5.0,1633713550
133,53,3.5,1633312056
136,55,3.0,1621291173
104,80,4.0,1623962272
119,89,5.0,1637865103
138,84,3.5,1609720328
130,94,4.0,1614948174
21,59,5.0,1623810424
77,48,3.5,1635420880
187,8,2.5,1615459132
180,89,3.0,1636758769
76,23,3.0,1626767549
195,4,4.0,1615672493
14,69,5.0,1619683521
55,83,5.0,1609687492
77,52,5.0,1611135651
4,11,3.0,1639650074
127,55,1.5,1629782359
73,40,2.5,1613740485
50,50,2.0,1635728107
165,69,3.5,1629542410
20,58,4.0,1640352105
65,36,4.0,1637872187
81,98,2.0,1610105797
59,26,3.5,1623105518
156,11,2.5,1610280945
71,59,3.0,1622006635
117,29,3.5,1638249542
93,35,1.5,1620943700
160,67,1.5,1615608150
136,92,4.5,1619378019
199,86,2.0,1609849501
106,67,3.5,1612517011
102,20,4.5,1616350197
102,89,3.5,1618033196
146,42,3.5,1611923965
108,20,3.0,1624432500
95,80,3.0,1614964827
73,41,4.5,1630259236
176,91,3.0,1627855402
80,42,3.0,1616812433
70,22,3.5,1622917829
117,5,1.5,1625363278
108,62,5.0,1628292084
79,63,2.5,1624588432
88,36,3.5,1628001950
7,95,3.5,1615204360
167,75,4.5,1637619054
199,76,4.0,1623786433
97,59,2.5,1627841940
48,97,2.0,1635333513
171,100,3.5,1638936601
191,91,3.0,1614839017
72,38,2.5,1614473039
153,22,2.5,1616863596
97,46,4.0,1618416895
9,44,4.5,1638437927
140,4,3.0,1618454683
